epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.9533,1.23894,2.42972,1.2574,0.41426,0.63359,0.44649,0.23258,1.85589,2.42666,1.54597,0.000472523,0.000472523,0.000472523
2,121.362,1.29597,1.79022,1.28743,0.75198,0.53435,0.62761,0.31748,2.04101,2.07701,1.77,0.000939462,0.000939462,0.000939462
3,184.539,1.33782,1.5637,1.31232,0.76849,0.54198,0.61059,0.28404,1.9864,2.00367,1.63545,0.00139697,0.00139697,0.00139697
4,242.762,1.28812,1.35854,1.29129,0.76199,0.68702,0.75896,0.37853,1.87171,1.5703,1.61432,0.00138656,0.00138656,0.00138656
5,300.307,1.27324,1.23125,1.28582,0.85909,0.74465,0.82976,0.40187,1.90036,1.48279,1.59312,0.00137241,0.00137241,0.00137241
6,356.504,1.27191,1.19649,1.27933,0.89608,0.70992,0.82375,0.40865,1.93205,1.34282,1.54502,0.00135826,0.00135826,0.00135826
7,413.274,1.25269,1.12198,1.25592,0.88439,0.76336,0.84906,0.45553,1.82049,1.23113,1.5375,0.00134412,0.00134412,0.00134412
8,471.407,1.23609,1.04695,1.23869,0.90033,0.68954,0.81464,0.42143,1.83103,1.29976,1.51843,0.00132997,0.00132997,0.00132997
9,528.699,1.22751,1.04858,1.23656,0.88404,0.69839,0.83426,0.44425,1.8948,1.47656,1.55817,0.00131582,0.00131582,0.00131582
10,589.843,1.19112,0.95877,1.21143,0.83996,0.84733,0.88505,0.46304,1.82306,1.1683,1.48989,0.00130168,0.00130168,0.00130168
11,648.035,1.17178,0.98701,1.19923,0.81169,0.80153,0.83308,0.45946,1.82938,1.12307,1.55613,0.00128753,0.00128753,0.00128753
12,705.123,1.19572,0.94045,1.2062,0.9339,0.80916,0.87694,0.45375,1.8463,1.14265,1.48533,0.00127338,0.00127338,0.00127338
13,764.678,1.15023,0.89841,1.18241,0.84941,0.83969,0.86567,0.45716,1.79033,1.04236,1.47918,0.00125923,0.00125923,0.00125923
14,825.915,1.17183,0.90573,1.19222,0.85488,0.85441,0.87906,0.48226,1.7026,0.92753,1.41641,0.00124509,0.00124509,0.00124509
15,885.788,1.14885,0.91358,1.1952,0.95726,0.77863,0.87448,0.49088,1.81273,1.13071,1.48755,0.00123094,0.00123094,0.00123094
16,943.694,1.13292,0.86491,1.16866,0.91607,0.81679,0.89573,0.45915,1.78808,1.0708,1.47041,0.00121679,0.00121679,0.00121679
17,1000.68,1.12031,0.87646,1.18349,0.90037,0.79389,0.86318,0.45826,1.73633,1.14344,1.47627,0.00120265,0.00120265,0.00120265
18,1056.8,1.11231,0.82044,1.16246,0.85782,0.829,0.8526,0.43822,1.99153,1.04642,1.70949,0.0011885,0.0011885,0.0011885
19,1111.35,1.10813,0.8217,1.15054,0.9303,0.81506,0.87186,0.49114,1.69468,0.93371,1.40618,0.00117435,0.00117435,0.00117435
20,1169.06,1.10474,0.80572,1.14547,0.90702,0.83969,0.8952,0.49231,1.7008,0.92366,1.42138,0.00116021,0.00116021,0.00116021
21,1227.51,1.11206,0.79777,1.15242,0.9375,0.80153,0.89414,0.48405,1.80513,1.06216,1.50191,0.00114606,0.00114606,0.00114606
22,1283.21,1.09616,0.78338,1.15993,0.91126,0.86223,0.90095,0.47081,1.89352,0.91703,1.58381,0.00113191,0.00113191,0.00113191
23,1344.16,1.07491,0.75489,1.14258,0.92121,0.89247,0.9093,0.50215,1.69843,1.01247,1.40294,0.00111776,0.00111776,0.00111776
24,1411.06,1.07415,0.75562,1.13633,0.97743,0.84733,0.92401,0.50857,1.71568,0.89411,1.43743,0.00110362,0.00110362,0.00110362
25,1469.33,1.0579,0.75866,1.13493,0.9186,0.84733,0.92245,0.50199,1.76732,0.89253,1.40955,0.00108947,0.00108947,0.00108947
26,1530.26,1.07791,0.73812,1.13704,0.87794,0.83206,0.8834,0.48969,1.83218,0.9779,1.52343,0.00107532,0.00107532,0.00107532
